ANTALL,STATUS_KODE,REGISTRERT
16187,OK,2019-01-04
9810,OK,2018-03-16
3346,MANUELL BEHANDLING,2018-03-19
78,MANUELL BEHANDLING,2018-03-17
41,AVVIST,2018-03-16
15161,OK,2018-04-04
6317,OK,2018-03-27
8844,OK,2018-03-26
61,AVVIST,2018-04-04
2155,MANUELL BEHANDLING,2018-06-15
2625,MANUELL BEHANDLING,2018-06-05
2232,MANUELL BEHANDLING,2018-06-28
9391,OK,2018-06-28
8881,OK,2018-06-22
3058,MANUELL BEHANDLING,2018-12-17
9312,OK,2018-12-19
9591,OK,2018-12-20
12615,OK,2019-02-15
2884,MANUELL BEHANDLING,2019-02-14
3273,MANUELL BEHANDLING,2019-02-12
57,AVVIST,2019-02-15
2359,MANUELL BEHANDLING,2018-10-10
63,AVVIST,2018-10-02
3347,MANUELL BEHANDLING,2018-03-06
16160,OK,2018-01-04
4196,MANUELL BEHANDLING,2018-01-04
2775,MANUELL BEHANDLING,2019-01-24
54,AVVIST,2019-01-14
133,MANUELL BEHANDLING,2019-01-13
54,AVVIST,2019-01-23
1242,MANUELL BEHANDLING,2019-07-19
20,MANUELL BEHANDLING,2018-02-18
1,AVVIST,2018-06-17
2841,MANUELL BEHANDLING,2018-01-26
10335,OK,2018-01-26
17287,OK,2019-03-11
54,AVVIST,2019-02-20
94,MANUELL BEHANDLING,2018-10-07
14897,OK,2018-09-17
8249,OK,2018-09-12
2237,MANUELL BEHANDLING,2018-09-05
2780,MANUELL BEHANDLING,2019-03-06
72,MANUELL BEHANDLING,2019-03-02
2843,MANUELL BEHANDLING,2019-03-07
8200,OK,2018-06-20
11418,OK,2019-04-26
12501,OK,2018-02-06
3395,MANUELL BEHANDLING,2018-02-06
60,AVVIST,2018-02-05
15475,OK,2019-05-06
8727,OK,2019-05-08
36,AVVIST,2018-07-23
4633,OK,2018-07-25
1911,MANUELL BEHANDLING,2018-08-09
2873,MANUELL BEHANDLING,2019-05-21
2488,MANUELL BEHANDLING,2019-05-23
2034,MANUELL BEHANDLING,2018-08-24
7685,OK,2018-08-24
12940,OK,2018-08-27
13029,OK,2018-10-30
2791,MANUELL BEHANDLING,2018-11-28
58,AVVIST,2018-11-30
74,AVVIST,2018-11-26
4154,MANUELL BEHANDLING,2019-01-02
805,OK,2018-12-31
4881,OK,2019-07-24
53,AVVIST,2018-02-14
33,AVVIST,2018-07-30
43,AVVIST,2018-07-31
2428,MANUELL BEHANDLING,2018-10-24
2427,MANUELL BEHANDLING,2019-06-18
8605,OK,2019-06-19
14553,OK,2018-01-30
23,AVVIST,2019-07-18
2507,MANUELL BEHANDLING,2019-05-10
55,AVVIST,2018-01-10
9,AVVIST,2019-05-12
2869,MANUELL BEHANDLING,2019-05-27
19866,OK,2019-06-03
2260,MANUELL BEHANDLING,2018-08-15
46,AVVIST,2018-09-06
88,MANUELL BEHANDLING,2019-07-27
2454,MANUELL BEHANDLING,2019-01-25
9524,OK,2019-05-16
3213,MANUELL BEHANDLING,2018-01-23
2515,MANUELL BEHANDLING,2018-08-31
10253,OK,2018-08-30
35,AVVIST,2018-08-30
37,AVVIST,2018-06-12
13352,OK,2018-08-20
61,AVVIST,2018-03-06
186,OK,2018-01-20
67,AVVIST,2018-02-12
47,MANUELL BEHANDLING,2019-01-12
10228,OK,2018-05-30
6359,OK,2018-05-18
3078,MANUELL BEHANDLING,2018-11-12
43,AVVIST,2018-11-15
2893,MANUELL BEHANDLING,2018-09-24
9640,OK,2018-09-26
2752,MANUELL BEHANDLING,2018-09-10
88,MANUELL BEHANDLING,2018-09-09
11179,OK,2018-01-23
55,AVVIST,2018-10-16
5,AVVIST,2019-07-27
3010,MANUELL BEHANDLING,2018-01-16
12283,OK,2018-04-06
9393,OK,2018-05-08
2642,MANUELL BEHANDLING,2019-04-12
9458,OK,2019-06-14
64,AVVIST,2019-06-11
48,AVVIST,2019-06-13
158,OK,2019-03-09
2874,MANUELL BEHANDLING,2018-01-12
10587,OK,2018-11-16
180,OK,2018-09-01
9283,OK,2018-10-23
84,MANUELL BEHANDLING,2018-10-21
2652,MANUELL BEHANDLING,2018-11-06
2983,MANUELL BEHANDLING,2018-11-19
37,AVVIST,2018-03-26
5689,OK,2018-08-03
1653,MANUELL BEHANDLING,2018-08-03
10451,OK,2019-03-19
2572,MANUELL BEHANDLING,2018-04-12
2653,MANUELL BEHANDLING,2018-04-11
2705,MANUELL BEHANDLING,2018-04-17
193,OK,2018-05-10
10948,OK,2018-01-16
76,AVVIST,2018-01-17
126,MANUELL BEHANDLING,2018-12-02
6328,OK,2019-08-15
6500,OK,2019-08-16
1692,MANUELL BEHANDLING,2019-08-22
42,AVVIST,2019-08-23
6609,OK,2019-08-22
26,AVVIST,2019-08-26
5327,OK,2018-07-13
1254,MANUELL BEHANDLING,2018-07-12
138,OK,2018-07-15
5239,OK,2018-07-10
29,AVVIST,2018-08-09
6075,OK,2018-08-10
28,AVVIST,2018-08-10
10093,OK,2019-04-11
9761,OK,2019-02-21
15743,OK,2018-04-30
165,OK,2019-05-25
49,MANUELL BEHANDLING,2019-05-25
27,AVVIST,2019-07-04
1452,MANUELL BEHANDLING,2019-07-04
16,AVVIST,2019-07-01
37,AVVIST,2019-07-05
3512,MANUELL BEHANDLING,2019-02-11
129,OK,2019-08-17
42,AVVIST,2019-01-18
210,OK,2018-11-03
145,OK,2019-06-15
285,OK,2019-06-16
2339,MANUELL BEHANDLING,2019-02-22
12836,OK,2019-02-05
59,AVVIST,2018-03-19
9247,OK,2018-04-20
3,AVVIST,2018-02-03
11283,OK,2018-02-08
2884,MANUELL BEHANDLING,2018-02-09
44,AVVIST,2018-02-09
183,MANUELL BEHANDLING,2019-05-01
110,MANUELL BEHANDLING,2019-04-28
2070,MANUELL BEHANDLING,2018-08-17
118,MANUELL BEHANDLING,2019-03-24
119,MANUELL BEHANDLING,2019-04-22
1631,MANUELL BEHANDLING,2018-07-04
109,MANUELL BEHANDLING,2018-11-04
20021,OK,2018-02-26
9468,OK,2018-04-26
30,MANUELL BEHANDLING,2018-03-30
249,OK,2018-10-14
56,AVVIST,2019-05-15
12267,OK,2019-06-24
55,AVVIST,2018-10-09
8798,OK,2019-07-08
1898,MANUELL BEHANDLING,2019-06-27
9190,OK,2018-02-23
11219,OK,2019-08-30
88,MANUELL BEHANDLING,2018-09-30
2,AVVIST,2019-09-17
1948,MANUELL BEHANDLING,2019-08-07
